nb_cycle_retour,moy_cycle_retour,d_res_soc,jour_res_soc,nbr_elmt_res_soc,propor_utilisa_retour
24,16,109.0,2,5,89.8391812865497
24,16,109.0,2,5,89.8391812865497
22,15,109.0,4,5,89.91228070175438
22,15,109.0,4,5,89.8391812865497
22,15,109.0,4,5,89.8391812865497
22,15,109.0,4,5,89.8391812865497
23,15,109.0,4,5,89.8391812865497
23,15,109.0,4,5,89.8391812865497
23,16,109.0,4,5,89.8391812865497
22,15,75.0,2,7,88.1578947368421
23,16,109.0,4,5,89.8391812865497
22,15,75.0,2,7,88.1578947368421
23,15,75.0,2,7,88.1578947368421
22,16,109.0,6,5,0.0
22,16,109.0,6,5,89.8391812865497
22,16,109.0,6,5,89.8391812865497
23,16,109.0,6,5,89.8391812865497
23,16,109.0,6,5,89.8391812865497
23,16,109.0,6,5,0.0
22,15,75.0,2,7,88.1578947368421
22,15,75.0,2,7,88.1578947368421
23,16,109.0,6,5,89.8391812865497
23,16,109.0,6,5,89.8391812865497
23,15,75.0,2,7,88.1578947368421
23,16,109.0,6,5,89.8391812865497
23,16,109.0,6,5,89.8391812865497
24,16,109.0,6,5,89.8391812865497
23,15,75.0,2,7,88.1578947368421
24,16,109.0,6,5,89.8391812865497
24,16,109.0,6,5,89.8391812865497
23,15,75.0,2,7,88.1578947368421
24,16,109.0,6,5,89.8391812865497
22,15,75.0,2,7,88.1578947368421
23,15,75.0,2,7,88.1578947368421
22,15,75.0,2,7,88.1578947368421
24,16,109.0,6,5,89.8391812865497
23,15,75.0,2,7,88.1578947368421
23,15,75.0,2,7,88.1578947368421
23,15,75.0,2,7,88.1578947368421
23,15,75.0,2,7,88.1578947368421
21,15,75.0,4,7,0.0
22,15,75.0,4,7,88.1578947368421
22,15,75.0,4,7,0.0
22,15,75.0,4,7,88.1578947368421
22,15,75.0,4,7,88.1578947368421
22,15,75.0,4,7,88.1578947368421
23,15,75.0,4,7,88.1578947368421
23,15,75.0,4,7,88.1578947368421
23,16,75.0,6,7,0.0
23,16,75.0,6,7,88.1578947368421
23,16,75.0,6,7,88.1578947368421
24,16,75.0,6,7,88.1578947368421
24,16,75.0,6,7,88.1578947368421
24,16,75.0,6,7,88.1578947368421
23,16,75.0,6,7,88.1578947368421
23,16,75.0,6,7,88.1578947368421
24,16,75.0,6,7,88.1578947368421
21,16,92.0,2,7,0.0
24,16,75.0,6,7,88.1578947368421
23,15,92.0,2,7,89.25438596491229
22,16,92.0,2,7,0.0
22,16,92.0,2,7,89.25438596491229
23,16,92.0,2,7,89.25438596491229
23,16,92.0,2,7,89.25438596491229
21,15,92.0,4,7,89.25438596491229
22,15,92.0,2,7,0.0
23,15,92.0,2,7,89.25438596491229
23,15,92.0,2,7,89.25438596491229
23,15,92.0,2,7,89.25438596491229
23,15,92.0,2,7,89.25438596491229
23,15,92.0,4,7,89.25438596491229
23,15,92.0,4,7,89.25438596491229
21,15,92.0,4,7,0.0
21,15,92.0,4,7,89.25438596491229
22,15,92.0,4,7,89.25438596491229
23,15,92.0,6,7,89.25438596491229
22,15,92.0,6,7,0.0
23,15,92.0,6,7,89.25438596491229
22,15,92.0,6,7,89.25438596491229
23,15,92.0,6,7,89.25438596491229
23,15,92.0,6,7,89.25438596491229
22,15,92.0,6,7,89.25438596491229
22,15,92.0,6,7,89.25438596491229
22,15,92.0,6,7,89.25438596491229
23,15,92.0,6,7,89.25438596491229
23,15,92.0,6,7,89.25438596491229
23,16,109.0,2,7,89.40058479532163
23,16,109.0,2,7,89.40058479532163
24,16,109.0,2,7,89.40058479532163
