nb_cycle_aller,moy_cycle_aller,d_veg,propor_utilisa_aller
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
50,128,25.0,39.10818713450293
50,128,25.0,39.10818713450293
43,119,25.0,38.45029239766082
50,128,25.0,39.10818713450293
43,119,25.0,38.45029239766082
50,128,25.0,39.10818713450293
43,119,25.0,38.45029239766082
50,128,25.0,39.10818713450293
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
43,119,25.0,38.45029239766082
50,121,25.0,42.10526315789473
50,121,25.0,42.10526315789473
42,118,25.0,41.52046783625731
43,113,20.0,41.885964912280706
43,113,20.0,41.885964912280706
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
42,115,25.0,39.69298245614035
47,120,25.0,41.95906432748538
47,120,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,115,25.0,41.95906432748538
45,117,25.0,41.739766081871345
45,117,25.0,41.739766081871345
43,118,25.0,42.98245614035088
45,117,25.0,41.739766081871345
45,117,25.0,41.739766081871345
45,117,25.0,41.739766081871345
45,117,25.0,41.739766081871345
45,117,25.0,41.739766081871345
45,117,25.0,41.739766081871345
48,124,25.0,41.44736842105263
48,124,25.0,41.44736842105263
48,124,25.0,41.44736842105263
48,124,25.0,41.44736842105263
48,124,25.0,41.44736842105263
46,116,25.0,41.812865497076025
46,116,25.0,41.812865497076025
46,116,25.0,41.812865497076025
46,116,25.0,41.812865497076025
46,116,25.0,41.812865497076025
46,116,25.0,41.812865497076025
46,116,25.0,41.812865497076025
46,118,25.0,42.909356725146196
46,118,25.0,42.909356725146196
46,118,25.0,42.909356725146196
46,118,25.0,42.909356725146196
46,118,25.0,42.909356725146196
46,118,25.0,42.909356725146196
46,118,25.0,42.909356725146196
46,118,25.0,42.909356725146196
46,118,25.0,42.909356725146196
46,118,25.0,42.909356725146196
46,118,25.0,42.909356725146196
46,118,25.0,42.909356725146196
48,126,25.0,40.57017543859649
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
42,115,25.0,39.32748538011696
44,115,25.0,42.32456140350877
42,115,25.0,39.32748538011696
44,115,25.0,42.32456140350877
47,120,25.0,41.885964912280706
47,120,25.0,41.885964912280706
43,113,25.0,41.885964912280706
43,113,25.0,41.885964912280706
