nb_cycle_aller,moy_cycle_aller,d_res_soc,jour_res_soc,nbr_elmt_res_soc,propor_utilisa_aller
72,31,75.0,2,5,80.26315789473685
72,32,75.0,4,5,80.26315789473685
72,31,75.0,2,5,80.26315789473685
72,31,75.0,2,5,80.26315789473685
72,31,75.0,2,5,80.26315789473685
55,31,92.0,4,5,77.26608187134502
55,31,92.0,2,5,77.26608187134502
55,31,92.0,2,5,77.26608187134502
55,31,92.0,4,5,77.26608187134502
55,31,92.0,2,5,77.26608187134502
55,31,92.0,4,5,77.26608187134502
55,31,92.0,2,5,77.26608187134502
55,31,92.0,4,5,77.26608187134502
55,31,92.0,4,5,77.26608187134502
55,31,92.0,2,5,77.26608187134502
55,31,92.0,2,5,77.26608187134502
66,31,92.0,2,5,80.48245614035088
66,31,92.0,2,5,80.48245614035088
66,31,92.0,2,5,80.48245614035088
66,31,92.0,2,5,80.48245614035088
66,31,92.0,2,5,80.48245614035088
66,31,92.0,2,5,80.48245614035088
66,31,92.0,2,5,80.48245614035088
66,31,92.0,2,5,80.48245614035088
66,31,92.0,2,5,80.48245614035088
66,31,92.0,2,5,80.48245614035088
66,31,92.0,2,5,80.48245614035088
68,31,92.0,2,5,80.77485380116958
68,31,92.0,2,5,80.77485380116958
68,31,92.0,2,5,80.77485380116958
73,33,75.0,6,5,80.26315789473685
68,31,92.0,2,5,80.77485380116958
73,33,75.0,6,5,80.26315789473685
67,32,92.0,4,5,80.48245614035088
73,33,75.0,6,5,80.26315789473685
68,31,92.0,2,5,80.77485380116958
67,32,92.0,4,5,80.48245614035088
73,33,75.0,6,5,80.26315789473685
68,31,92.0,2,5,80.77485380116958
67,32,92.0,4,5,80.48245614035088
68,31,92.0,2,5,80.77485380116958
73,33,75.0,6,5,80.26315789473685
67,32,92.0,4,5,80.48245614035088
68,31,92.0,2,5,80.77485380116958
73,33,75.0,6,5,80.26315789473685
68,31,92.0,2,5,80.77485380116958
73,33,75.0,6,5,80.26315789473685
67,32,92.0,4,5,80.48245614035088
73,33,75.0,6,5,80.26315789473685
67,32,92.0,4,5,80.48245614035088
72,32,92.0,2,5,79.23976608187134
68,31,92.0,2,5,80.77485380116958
72,32,92.0,2,5,79.23976608187134
73,33,75.0,6,5,80.26315789473685
68,31,92.0,2,5,80.77485380116958
72,32,92.0,2,5,79.23976608187134
73,33,75.0,6,5,80.26315789473685
68,31,92.0,2,5,80.77485380116958
72,32,92.0,2,5,79.23976608187134
73,33,75.0,6,5,80.26315789473685
68,31,92.0,2,5,80.77485380116958
72,32,92.0,2,5,79.23976608187134
73,33,75.0,6,5,80.26315789473685
68,31,92.0,2,5,80.77485380116958
73,33,75.0,6,5,80.26315789473685
68,31,92.0,2,5,80.77485380116958
72,32,92.0,2,5,79.23976608187134
68,31,92.0,2,5,80.77485380116958
73,33,75.0,6,5,80.26315789473685
72,32,92.0,2,5,79.23976608187134
72,32,92.0,2,5,79.23976608187134
68,31,92.0,2,5,80.77485380116958
73,32,75.0,6,5,78.80116959064327
72,32,92.0,2,5,79.23976608187134
68,31,92.0,2,5,80.77485380116958
72,32,92.0,2,5,79.23976608187134
73,32,75.0,6,5,78.80116959064327
73,32,75.0,6,5,78.80116959064327
72,32,92.0,2,5,79.23976608187134
68,31,92.0,4,5,80.77485380116958
72,32,92.0,4,5,79.31286549707602
72,32,92.0,4,5,79.31286549707602
72,32,92.0,4,5,79.31286549707602
