nb_cycle_aller,moy_cycle_aller,dist_veto,propor_utilisa_aller,jour_marche
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
29,20,15.0,53.80116959064327,6
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
28,19,15.0,52.99707602339181,7
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
29,19,15.0,52.99707602339181,8
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
28,19,15.0,52.99707602339181,9
