nb_cycle_retour,moy_cycle_retour,d_eau,propor_utilisa_retour
49,22,20.0,55.336257309941516
49,22,20.0,55.336257309941516
49,22,20.0,55.336257309941516
49,22,20.0,55.336257309941516
50,22,20.0,55.336257309941516
50,22,20.0,55.336257309941516
50,22,20.0,55.336257309941516
50,22,20.0,55.336257309941516
51,22,20.0,55.336257309941516
51,22,20.0,55.336257309941516
51,22,20.0,55.336257309941516
51,22,20.0,55.336257309941516
52,22,20.0,55.336257309941516
52,22,20.0,55.336257309941516
52,22,20.0,55.336257309941516
52,22,20.0,55.336257309941516
53,22,20.0,55.336257309941516
53,22,20.0,55.336257309941516
53,22,20.0,55.336257309941516
53,22,20.0,55.336257309941516
54,22,20.0,55.336257309941516
54,22,20.0,55.336257309941516
54,22,20.0,55.336257309941516
54,22,20.0,55.336257309941516
55,22,20.0,55.336257309941516
55,22,20.0,55.336257309941516
55,22,20.0,55.336257309941516
51,21,20.0,43.27485380116959
49,21,20.0,41.885964912280706
55,22,20.0,55.336257309941516
49,21,20.0,41.885964912280706
51,21,20.0,43.27485380116959
56,22,20.0,55.336257309941516
50,21,20.0,41.885964912280706
52,21,20.0,43.27485380116959
56,22,20.0,55.336257309941516
50,21,20.0,41.885964912280706
52,21,20.0,43.27485380116959
56,22,20.0,55.336257309941516
50,21,20.0,41.885964912280706
52,21,20.0,43.27485380116959
50,21,20.0,41.885964912280706
56,22,20.0,55.336257309941516
52,21,20.0,43.27485380116959
51,21,20.0,41.885964912280706
53,21,20.0,43.27485380116959
57,22,20.0,55.336257309941516
51,21,20.0,41.885964912280706
57,22,20.0,55.336257309941516
53,21,20.0,43.27485380116959
57,22,20.0,55.336257309941516
51,21,20.0,41.885964912280706
53,21,20.0,43.27485380116959
57,22,20.0,55.336257309941516
51,21,20.0,41.885964912280706
53,21,20.0,43.27485380116959
58,22,20.0,55.336257309941516
54,21,20.0,43.27485380116959
52,21,20.0,41.885964912280706
53,21,20.0,44.22514619883041
52,21,20.0,41.885964912280706
58,22,20.0,55.336257309941516
54,21,20.0,43.27485380116959
53,21,20.0,44.22514619883041
52,21,20.0,41.885964912280706
58,22,20.0,55.336257309941516
54,21,20.0,43.27485380116959
53,21,20.0,44.22514619883041
49,20,20.0,42.32456140350877
58,22,20.0,55.336257309941516
52,21,20.0,41.885964912280706
54,21,20.0,43.27485380116959
54,21,20.0,44.22514619883041
59,22,20.0,55.336257309941516
50,20,20.0,42.32456140350877
53,21,20.0,41.885964912280706
55,21,20.0,43.27485380116959
48,23,20.0,42.32456140350877
54,21,20.0,44.22514619883041
50,20,20.0,42.32456140350877
53,21,20.0,41.885964912280706
59,22,20.0,55.336257309941516
55,21,20.0,43.27485380116959
54,21,20.0,44.22514619883041
59,22,20.0,55.336257309941516
55,21,20.0,43.27485380116959
53,21,20.0,41.885964912280706
48,23,20.0,42.32456140350877
48,23,20.0,42.32456140350877
53,21,20.0,41.885964912280706
59,22,20.0,55.336257309941516
54,21,20.0,44.22514619883041
55,21,20.0,43.27485380116959
49,23,20.0,42.32456140350877
60,22,20.0,55.336257309941516
55,21,20.0,44.22514619883041
56,21,20.0,43.27485380116959
54,21,20.0,41.885964912280706
54,21,20.0,41.885964912280706
49,23,20.0,42.32456140350877
55,21,20.0,44.22514619883041
56,21,20.0,43.27485380116959
60,22,20.0,55.336257309941516
56,21,20.0,43.27485380116959
55,21,20.0,44.22514619883041
54,21,20.0,41.885964912280706
60,22,20.0,55.336257309941516
60,22,20.0,55.336257309941516
55,21,20.0,44.22514619883041
56,21,20.0,43.27485380116959
54,21,20.0,41.885964912280706
55,21,20.0,41.885964912280706
56,21,20.0,44.22514619883041
57,21,20.0,43.27485380116959
61,22,20.0,55.336257309941516
56,21,20.0,44.22514619883041
61,22,20.0,55.336257309941516
57,21,20.0,43.27485380116959
55,21,20.0,41.885964912280706
56,21,20.0,44.22514619883041
57,21,20.0,43.27485380116959
55,21,20.0,41.885964912280706
49,22,20.0,42.39766081871345
61,22,20.0,55.336257309941516
61,22,20.0,55.336257309941516
56,21,20.0,44.22514619883041
49,22,20.0,42.39766081871345
55,21,20.0,41.885964912280706
62,22,20.0,55.336257309941516
56,21,20.0,41.885964912280706
50,22,20.0,42.39766081871345
57,21,20.0,44.22514619883041
50,22,20.0,42.39766081871345
57,21,20.0,44.22514619883041
56,21,20.0,41.885964912280706
62,22,20.0,55.336257309941516
57,21,20.0,44.22514619883041
56,21,20.0,41.885964912280706
62,22,20.0,55.336257309941516
50,22,20.0,42.39766081871345
50,22,20.0,42.39766081871345
56,21,20.0,41.885964912280706
62,22,20.0,55.336257309941516
57,21,20.0,44.22514619883041
58,21,20.0,44.22514619883041
63,22,20.0,55.336257309941516
51,22,20.0,42.39766081871345
57,21,20.0,41.885964912280706
58,21,20.0,44.22514619883041
63,22,20.0,55.336257309941516
51,22,20.0,42.39766081871345
57,21,20.0,41.885964912280706
57,21,20.0,41.885964912280706
63,22,20.0,55.336257309941516
51,22,20.0,42.39766081871345
58,21,20.0,44.22514619883041
51,22,20.0,42.39766081871345
63,22,20.0,55.336257309941516
57,21,20.0,41.885964912280706
58,21,20.0,44.22514619883041
64,22,20.0,55.336257309941516
59,21,20.0,44.22514619883041
58,21,20.0,41.885964912280706
52,22,20.0,42.39766081871345
58,21,20.0,41.885964912280706
52,22,20.0,42.39766081871345
52,22,20.0,42.39766081871345
58,21,20.0,41.885964912280706
58,21,20.0,41.885964912280706
52,22,20.0,42.39766081871345
53,22,20.0,42.39766081871345
59,21,20.0,41.885964912280706
53,22,20.0,42.39766081871345
59,21,20.0,41.885964912280706
59,21,20.0,41.885964912280706
53,22,20.0,42.39766081871345
59,21,20.0,41.885964912280706
53,22,20.0,42.39766081871345
54,22,20.0,42.39766081871345
60,21,20.0,41.885964912280706
58,22,20.0,43.71345029239766
60,21,20.0,41.885964912280706
58,22,20.0,43.78654970760234
60,21,20.0,41.885964912280706
60,21,20.0,41.885964912280706
58,22,20.0,43.78654970760234
59,22,20.0,43.78654970760234
61,21,20.0,41.885964912280706
59,22,20.0,43.78654970760234
61,21,20.0,41.885964912280706
61,21,20.0,41.885964912280706
59,22,20.0,43.78654970760234
59,22,20.0,43.78654970760234
61,21,20.0,41.885964912280706
62,21,20.0,41.885964912280706
60,22,20.0,43.78654970760234
62,21,20.0,41.885964912280706
60,22,20.0,43.78654970760234
62,21,20.0,41.885964912280706
60,22,20.0,43.78654970760234
60,22,20.0,43.78654970760234
62,21,20.0,41.885964912280706
61,22,20.0,43.78654970760234
63,21,20.0,41.885964912280706
61,22,20.0,43.78654970760234
63,21,20.0,41.885964912280706
63,21,20.0,41.885964912280706
61,22,20.0,43.78654970760234
61,22,20.0,43.78654970760234
63,21,20.0,41.885964912280706
62,22,20.0,43.78654970760234
64,21,20.0,41.885964912280706
62,22,20.0,43.78654970760234
64,21,20.0,41.885964912280706
64,21,20.0,41.885964912280706
62,22,20.0,43.78654970760234
64,21,20.0,41.885964912280706
62,22,20.0,43.78654970760234
65,21,20.0,41.885964912280706
65,21,20.0,41.885964912280706
65,21,20.0,41.885964912280706
