nb_cycle_aller,moy_cycle_aller,d_res_soc,jour_res_soc,nbr_elmt_res_soc,propor_utilisa_aller
53,34,92.0,6,9,90.8625730994152
53,34,92.0,6,9,90.8625730994152
53,34,92.0,6,9,90.8625730994152
59,32,109.0,2,9,90.64327485380117
59,32,109.0,2,9,90.64327485380117
59,32,109.0,2,9,90.64327485380117
59,32,109.0,2,9,90.64327485380117
59,32,109.0,2,9,90.64327485380117
59,32,109.0,2,9,90.64327485380117
59,32,109.0,2,9,90.64327485380117
59,32,109.0,2,9,90.64327485380117
59,32,109.0,2,9,90.64327485380117
59,32,109.0,2,9,90.64327485380117
59,32,109.0,2,9,90.64327485380117
59,32,109.0,2,9,90.64327485380117
59,32,109.0,2,9,90.64327485380117
59,33,109.0,4,9,90.64327485380117
59,33,109.0,4,9,90.64327485380117
59,33,109.0,4,9,90.64327485380117
59,33,109.0,4,9,90.64327485380117
59,33,109.0,4,9,90.64327485380117
59,33,109.0,4,9,90.64327485380117
59,34,109.0,6,9,90.64327485380117
59,34,109.0,6,9,90.64327485380117
50,32,75.0,2,11,90.2046783625731
50,32,75.0,2,11,90.2046783625731
50,32,75.0,2,11,90.2046783625731
59,34,109.0,6,9,90.64327485380117
50,32,75.0,2,11,90.2046783625731
59,34,109.0,6,9,90.64327485380117
59,34,109.0,6,9,90.64327485380117
59,34,109.0,6,9,90.64327485380117
59,34,109.0,6,9,90.64327485380117
59,34,109.0,6,9,90.64327485380117
50,32,75.0,2,11,90.2046783625731
50,32,75.0,2,11,90.2046783625731
