nb_cycle_retour,moy_cycle_retour,d_veg,propor_utilisa_retour
53,24,15.0,54.166666666666664
47,24,15.0,52.55847953216374
47,24,15.0,54.53216374269005
47,24,15.0,52.55847953216374
47,24,15.0,54.53216374269005
53,24,15.0,54.166666666666664
47,24,15.0,52.55847953216374
53,24,15.0,54.166666666666664
47,24,15.0,54.53216374269005
53,24,15.0,54.166666666666664
47,24,15.0,54.53216374269005
47,24,15.0,52.55847953216374
48,24,15.0,54.53216374269005
54,24,15.0,54.166666666666664
48,24,15.0,52.55847953216374
48,24,15.0,54.53216374269005
54,24,15.0,54.166666666666664
48,24,15.0,52.55847953216374
48,24,15.0,52.55847953216374
54,24,15.0,54.166666666666664
48,24,15.0,54.53216374269005
48,24,15.0,52.55847953216374
48,24,15.0,54.53216374269005
54,24,15.0,54.166666666666664
49,24,15.0,54.53216374269005
49,24,15.0,52.55847953216374
49,24,15.0,54.53216374269005
49,24,15.0,52.55847953216374
49,24,15.0,52.55847953216374
49,24,15.0,54.53216374269005
49,24,15.0,54.53216374269005
49,24,15.0,52.55847953216374
50,24,15.0,52.55847953216374
50,24,15.0,54.53216374269005
50,24,15.0,52.55847953216374
50,24,15.0,54.53216374269005
50,24,15.0,52.55847953216374
50,24,15.0,54.53216374269005
50,24,15.0,54.53216374269005
50,24,15.0,52.55847953216374
51,24,15.0,52.55847953216374
51,24,15.0,54.53216374269005
51,24,15.0,52.55847953216374
51,24,15.0,54.53216374269005
51,24,15.0,52.55847953216374
51,24,15.0,54.53216374269005
51,24,15.0,52.55847953216374
52,24,15.0,52.55847953216374
52,24,15.0,52.55847953216374
52,24,15.0,52.55847953216374
52,24,15.0,52.55847953216374
53,24,15.0,52.55847953216374
53,24,15.0,52.55847953216374
53,24,15.0,52.55847953216374
53,24,15.0,52.55847953216374
54,24,15.0,52.55847953216374
54,24,15.0,52.55847953216374
54,24,15.0,52.55847953216374
54,24,15.0,52.55847953216374
55,24,15.0,52.55847953216374
55,24,15.0,52.55847953216374
55,24,15.0,52.55847953216374
55,24,15.0,52.55847953216374
56,24,15.0,52.55847953216374
