nb_cycle_retour,moy_cycle_retour,d_res_soc,jour_res_soc,nbr_elmt_res_soc,propor_utilisa_retour
37,20,92.0,2,5,81.06725146198829
0,0,92.0,2,5,0.0
38,20,92.0,2,5,82.30994152046783
39,20,92.0,2,5,82.30994152046783
39,20,92.0,2,5,82.30994152046783
39,20,92.0,2,5,82.30994152046783
39,20,92.0,2,5,82.30994152046783
40,20,92.0,2,5,82.30994152046783
40,20,92.0,2,5,82.30994152046783
40,20,92.0,2,5,82.30994152046783
40,20,92.0,2,5,82.30994152046783
41,20,92.0,2,5,82.30994152046783
38,21,92.0,4,5,82.67543859649122
38,21,92.0,4,5,82.67543859649122
38,20,92.0,4,5,82.0906432748538
38,20,92.0,4,5,82.0906432748538
37,20,92.0,4,5,82.30994152046783
38,20,92.0,4,5,82.0906432748538
38,20,92.0,4,5,82.0906432748538
39,20,92.0,4,5,82.0906432748538
40,20,92.0,4,5,80.92105263157895
40,20,92.0,4,5,80.92105263157895
34,20,92.0,6,5,81.06725146198829
37,20,92.0,6,5,82.16374269005848
34,20,92.0,6,5,81.06725146198829
37,20,92.0,6,5,82.16374269005848
37,20,92.0,6,5,82.16374269005848
35,20,92.0,6,5,81.06725146198829
38,20,92.0,6,5,82.16374269005848
36,20,92.0,6,5,82.60233918128655
35,20,92.0,6,5,81.06725146198829
35,20,92.0,6,5,81.06725146198829
36,20,92.0,6,5,82.60233918128655
36,20,92.0,6,5,82.60233918128655
35,20,92.0,6,5,81.06725146198829
37,20,92.0,6,5,82.60233918128655
36,20,92.0,6,5,81.06725146198829
36,20,92.0,6,5,81.06725146198829
37,20,92.0,6,5,82.60233918128655
37,20,92.0,6,5,82.60233918128655
36,20,92.0,6,5,81.06725146198829
36,20,92.0,6,5,81.06725146198829
37,20,92.0,6,5,82.60233918128655
38,20,92.0,6,5,82.60233918128655
37,20,92.0,6,5,81.06725146198829
37,20,92.0,6,5,81.06725146198829
37,20,92.0,6,5,81.06725146198829
36,20,109.0,2,5,84.1374269005848
37,20,92.0,6,5,82.45614035087719
37,20,92.0,6,5,81.06725146198829
38,20,92.0,6,5,81.06725146198829
37,20,92.0,6,5,82.45614035087719
38,20,92.0,6,5,81.06725146198829
38,20,92.0,6,5,82.45614035087719
38,20,92.0,6,5,82.45614035087719
38,20,92.0,6,5,81.06725146198829
38,20,92.0,6,5,81.06725146198829
38,20,92.0,6,5,82.45614035087719
39,20,92.0,6,5,81.06725146198829
39,20,92.0,6,5,81.06725146198829
39,20,92.0,6,5,81.06725146198829
39,20,92.0,6,5,81.06725146198829
40,20,92.0,6,5,81.06725146198829
40,20,92.0,6,5,81.06725146198829
40,20,92.0,6,5,81.06725146198829
37,20,109.0,4,5,84.21052631578947
