grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_aller
8,12,0,0,0.0
9,12,0,0,0.0
10,12,0,0,0.0
11,12,1,1,0.0
12,12,1,4,0.0
13,12,0,0,0.0
14,12,0,0,0.0
15,12,1,1,0.0
16,12,1,16,0.0
17,12,1,5,0.0
18,12,1,6,0.0
19,12,1,8,0.0
20,12,1,29,0.0
21,12,1,35,0.0
22,12,2,64,0.0
23,12,1,40,0.0
24,12,2,31,0.0
25,12,1,60,0.0
26,12,1,40,0.0
27,12,2,30,0.0
4,33,2,340,0.0017935541
6,30,5,480,0.0009118259
11,30,4,428,0.0004138445
31,12,0,0,0.0
32,12,0,0,0.0
33,12,1,1,0.0
34,12,0,0,0.0
35,12,0,0,0.0
0,13,0,0,0.0
1,13,0,0,0.0
2,13,0,0,0.0
3,13,0,0,0.0
4,13,0,0,0.0
5,13,0,0,0.0
6,13,0,0,0.0
7,13,0,0,0.0
8,13,0,0,0.0
9,13,0,0,0.0
10,13,0,0,0.0
11,13,1,3,0.0
12,13,1,2,0.0
13,13,1,3,0.0
14,13,0,0,0.0
15,13,1,5,0.0
16,13,1,13,0.0
17,13,1,12,0.0
18,13,1,7,0.0
19,13,1,18,0.0
20,13,1,16,0.0
21,13,1,51,0.0
22,13,1,34,0.0
23,13,2,67,0.0
24,13,1,47,0.0
25,13,1,84,0.0
26,13,1,31,0.0
27,13,2,16,0.0
28,13,1,53,0.0
29,13,1,29,0.0
30,13,0,0,0.0
31,13,0,0,0.0
32,13,0,0,0.0
33,13,0,0,0.0
34,13,0,0,0.0
35,13,0,0,0.0
0,14,0,0,0.0
1,14,0,0,0.0
2,14,0,0,0.0
3,14,0,0,0.0
4,14,0,0,0.0
5,14,0,0,0.0
6,14,0,0,0.0
7,14,0,0,0.0
8,14,0,0,0.0
9,14,0,0,0.0
10,14,0,0,0.0
11,14,1,3,0.0
12,14,0,0,0.0
13,14,0,0,0.0
14,14,1,5,0.0
15,14,1,6,0.0
16,14,1,8,0.0
17,14,1,8,0.0
18,14,1,13,0.0
19,14,1,23,0.0
20,14,1,19,0.0
21,14,1,38,0.0
22,14,1,24,0.0
23,14,1,95,0.0
24,14,1,142,0.0
25,14,1,56,0.0
26,14,1,22,0.0
27,14,1,60,0.0
28,14,1,10,0.0
29,14,0,0,0.0
30,14,0,0,0.0
31,14,0,0,0.0
32,14,0,0,0.0
33,14,0,0,0.0
34,14,0,0,0.0
35,14,0,0,0.0
0,15,0,0,0.0
1,15,0,0,0.0
2,15,0,0,0.0
3,15,0,0,0.0
4,15,0,0,0.0
5,15,0,0,0.0
6,15,0,0,0.0
7,15,0,0,0.0
8,15,0,0,0.0
9,15,0,0,0.0
10,15,1,3,0.0
11,15,0,0,0.0
12,15,0,0,0.0
13,15,1,2,0.0
14,15,1,4,0.0
15,15,2,6,0.0
16,15,1,9,0.0
17,15,1,16,0.0
18,15,2,25,0.0
19,15,1,21,0.0
20,15,1,24,0.0
21,15,1,18,0.0
22,15,1,47,0.0
23,15,1,158,0.0
24,15,3,156,0.0
25,15,1,39,0.0
26,15,1,83,0.0
27,15,1,13,0.0
28,15,0,0,0.0
29,15,0,0,0.0
30,15,0,0,0.0
31,15,0,0,0.0
32,15,0,0,0.0
33,15,0,0,0.0
34,15,0,0,0.0
35,15,0,0,0.0
0,16,0,0,0.0
1,16,0,0,0.0
2,16,0,0,0.0
3,16,0,0,0.0
4,16,0,0,0.0
5,16,0,0,0.0
6,16,0,0,0.0
