nb_cycle_retour,moy_cycle_retour,d_eau / 1000,propor_utilisa_retour
37,24,25.0,54.824561403508774
36,24,25.0,55.77485380116959
37,24,25.0,54.824561403508774
35,24,25.0,55.04385964912281
36,24,25.0,55.77485380116959
38,24,25.0,54.824561403508774
38,24,25.0,54.824561403508774
36,24,25.0,55.77485380116959
36,24,25.0,55.04385964912281
36,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
36,24,25.0,55.04385964912281
36,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
38,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
38,24,25.0,55.04385964912281
