nb_cycle_retour,moy_cycle_retour,d_eau / 1000,propor_utilisa_retour
38,24,25.0,55.04385964912281
38,24,25.0,55.04385964912281
0,0,25.0,0.0
34,24,25.0,55.19005847953217
34,24,25.0,55.19005847953217
35,24,25.0,55.19005847953217
35,24,25.0,55.19005847953217
0,0,25.0,0.0
35,24,25.0,55.26315789473685
35,24,25.0,55.26315789473685
36,24,25.0,55.26315789473685
36,24,25.0,55.26315789473685
32,24,25.0,55.48245614035088
36,24,25.0,55.26315789473685
32,24,25.0,55.48245614035088
36,24,25.0,55.26315789473685
37,24,25.0,55.26315789473685
37,24,25.0,55.26315789473685
34,24,25.0,55.26315789473685
34,24,25.0,55.26315789473685
37,24,25.0,55.26315789473685
34,24,25.0,55.26315789473685
34,24,25.0,55.26315789473685
34,24,25.0,55.48245614035088
35,24,25.0,55.26315789473685
34,24,25.0,55.48245614035088
35,24,25.0,55.26315789473685
34,24,25.0,55.48245614035088
34,24,25.0,55.48245614035088
