nb_cycle_aller,moy_cycle_aller,d_eau,propor_utilisa_aller
67,30,20.0,44.15204678362573
59,31,20.0,45.39473684210527
62,30,20.0,44.73684210526316
59,31,20.0,45.39473684210527
67,30,20.0,44.15204678362573
62,30,20.0,44.73684210526316
61,30,20.0,45.46783625730994
62,30,20.0,44.73684210526316
67,30,20.0,44.15204678362573
59,31,20.0,45.39473684210527
61,30,20.0,45.46783625730994
59,31,20.0,45.39473684210527
62,30,20.0,44.73684210526316
67,30,20.0,44.15204678362573
61,30,20.0,45.46783625730994
61,30,20.0,45.46783625730994
67,30,20.0,44.15204678362573
59,31,20.0,45.39473684210527
61,30,20.0,45.46783625730994
67,30,20.0,44.15204678362573
59,31,20.0,45.39473684210527
67,30,20.0,44.15204678362573
61,30,20.0,45.46783625730994
59,31,20.0,45.39473684210527
59,31,20.0,45.39473684210527
61,30,20.0,45.46783625730994
67,30,20.0,44.15204678362573
61,30,20.0,45.46783625730994
67,30,20.0,44.15204678362573
59,31,20.0,45.39473684210527
67,30,20.0,44.15204678362573
59,31,20.0,45.39473684210527
61,30,20.0,45.46783625730994
61,30,20.0,45.46783625730994
59,31,20.0,45.39473684210527
67,30,20.0,44.15204678362573
67,30,20.0,44.15204678362573
59,31,20.0,45.39473684210527
61,30,20.0,45.46783625730994
61,30,20.0,45.46783625730994
59,31,20.0,45.39473684210527
67,30,20.0,44.15204678362573
59,31,20.0,45.39473684210527
67,30,20.0,44.15204678362573
71,32,20.0,45.760233918128655
61,30,20.0,45.46783625730994
59,31,20.0,45.39473684210527
61,30,20.0,45.46783625730994
71,32,20.0,45.760233918128655
67,30,20.0,44.15204678362573
59,31,20.0,45.39473684210527
67,30,20.0,44.15204678362573
71,32,20.0,45.760233918128655
61,30,20.0,45.46783625730994
71,32,20.0,45.760233918128655
67,30,20.0,44.15204678362573
59,31,20.0,45.39473684210527
61,30,20.0,45.46783625730994
59,31,20.0,45.39473684210527
71,32,20.0,45.760233918128655
61,30,20.0,45.46783625730994
67,30,20.0,44.15204678362573
67,30,20.0,44.15204678362573
61,30,20.0,45.46783625730994
59,31,20.0,45.39473684210527
71,32,20.0,45.760233918128655
59,31,20.0,45.39473684210527
67,30,20.0,44.15204678362573
61,30,20.0,45.46783625730994
71,32,20.0,45.760233918128655
59,31,20.0,45.39473684210527
71,32,20.0,45.760233918128655
67,30,20.0,44.15204678362573
61,30,20.0,45.46783625730994
71,32,20.0,45.760233918128655
61,30,20.0,45.46783625730994
59,31,20.0,45.39473684210527
61,30,20.0,45.46783625730994
71,32,20.0,45.760233918128655
59,31,20.0,45.39473684210527
59,31,20.0,45.39473684210527
71,32,20.0,45.760233918128655
61,30,20.0,45.46783625730994
59,31,20.0,45.39473684210527
61,30,20.0,45.46783625730994
71,32,20.0,45.760233918128655
59,31,20.0,45.39473684210527
71,32,20.0,45.760233918128655
61,30,20.0,45.46783625730994
71,32,20.0,45.760233918128655
59,31,20.0,45.39473684210527
61,30,20.0,45.46783625730994
