grid_x,grid_y,nb_trp_inside,impact_trp_aller,s_nb_trp_inside,impact_trp_aller
17,5,0,0.0,0,0.0
17,2,1,0.0000295494,25,0.0000295494
18,5,0,0.0,0,0.0
28,5,2,0.0000141881,8,0.0000141881
19,5,1,0.0,70,0.0
26,4,0,0.0,0,0.0
9,3,4,0.0000497436,40,0.0000497436
27,4,1,0.0,2,0.0
6,2,1,0.0000159041,3,0.0000159041
28,4,0,0.0,0,0.0
23,2,1,0.0000152104,3,0.0000152104
29,4,0,0.0,0,0.0
21,1,1,0.0000323284,3,0.0000323284
30,4,0,0.0,0,0.0
7,0,1,0.0000162261,3,0.0000162261
31,4,0,0.0,0,0.0
25,5,1,0.0,3,0.0
32,4,0,0.0,0,0.0
33,4,0,0.0,0,0.0
9,4,2,0.0000494463,22,0.0000494463
34,4,0,0.0,0,0.0
24,3,3,0.0000311393,11,0.0000311393
35,4,0,0.0,0,0.0
28,5,0,0.0,0,0.0
0,5,0,0.0,0,0.0
29,5,0,0.0,0,0.0
1,5,0,0.0,0,0.0
30,5,0,0.0,0,0.0
2,5,1,0.0,23,0.0
31,5,0,0.0,0,0.0
3,5,1,0.0,33,0.0
32,5,0,0.0,0,0.0
4,5,1,0.0,2,0.0
33,5,0,0.0,0,0.0
5,5,1,0.0,1,0.0
34,5,0,0.0,0,0.0
6,5,0,0.0,0,0.0
35,5,0,0.0,0,0.0
7,5,1,0.0,5,0.0
0,6,0,0.0,0,0.0
8,5,1,0.0,45,0.0
1,6,0,0.0,0,0.0
9,5,1,0.0,75,0.0
2,6,0,0.0,0,0.0
10,5,2,0.0,11,0.0
3,6,1,0.0,1,0.0
11,5,0,0.0,0,0.0
4,6,1,0.0,12,0.0
12,5,1,0.0,14,0.0
5,6,1,0.0,7,0.0
13,5,1,0.0,16,0.0
6,6,1,0.0,3,0.0
14,5,1,0.0,33,0.0
7,6,0,0.0,0,0.0
15,5,1,0.0,64,0.0
8,6,3,0.0,115,0.0
16,5,1,0.0,14,0.0
9,6,1,0.0,7,0.0
17,5,0,0.0,0,0.0
10,6,1,0.0,3,0.0
18,5,2,0.0,5,0.0
11,6,1,0.0,2,0.0
19,5,1,0.0,45,0.0
12,6,1,0.0,44,0.0
20,5,1,0.0,21,0.0
13,6,1,0.0,19,0.0
12,2,1,0.0000430856,31,0.0000430856
14,6,1,0.0,43,0.0
22,5,1,0.0,22,0.0
15,6,1,0.0,88,0.0
21,1,3,0.0000286803,11,0.0000286803
16,6,1,0.0,58,0.0
27,5,1,0.0000156221,7,0.0000156221
17,6,1,0.0,2,0.0
23,2,3,0.0000159045,9,0.0000159045
18,6,1,0.0,44,0.0
26,5,2,0.0,6,0.0
19,6,1,0.0,97,0.0
22,1,1,0.000041065,5,0.000041065
20,6,1,0.0,103,0.0
