nb_cycle_retour,moy_cycle_retour,dist_veto,propor_utilisa_retour,jour_marche
22,16,15.0,53.216374269005854,13
22,16,15.0,53.3625730994152,13
22,16,15.0,53.289473684210535,13
22,16,15.0,53.289473684210535,13
22,16,15.0,53.289473684210535,13
22,16,15.0,53.289473684210535,13
22,16,15.0,53.289473684210535,13
23,16,15.0,53.289473684210535,13
23,16,15.0,53.289473684210535,13
23,16,15.0,53.289473684210535,13
0,0,15.0,0.0,13
22,16,15.0,53.289473684210535,13
23,16,15.0,53.289473684210535,13
0,0,15.0,0.0,13
22,16,15.0,53.289473684210535,13
21,16,15.0,53.3625730994152,13
24,16,15.0,53.289473684210535,13
23,16,15.0,53.289473684210535,13
22,16,15.0,53.3625730994152,13
23,16,15.0,53.289473684210535,13
22,16,15.0,53.3625730994152,13
22,16,15.0,53.3625730994152,13
0,0,15.0,0.0,13
23,16,15.0,53.216374269005854,13
23,16,15.0,53.216374269005854,13
22,16,15.0,53.289473684210535,13
23,16,15.0,53.289473684210535,13
22,16,15.0,53.3625730994152,13
22,16,15.0,53.3625730994152,13
23,16,15.0,53.3625730994152,13
23,16,15.0,53.3625730994152,13
23,16,15.0,53.3625730994152,13
22,16,15.0,53.216374269005854,13
22,16,15.0,53.216374269005854,13
21,16,15.0,53.216374269005854,13
22,16,15.0,53.216374269005854,13
22,16,15.0,53.216374269005854,13
23,16,15.0,53.216374269005854,13
23,16,15.0,53.216374269005854,13
23,16,15.0,53.216374269005854,13
23,16,15.0,53.216374269005854,13
23,16,15.0,53.216374269005854,13
24,16,15.0,53.216374269005854,13
22,16,15.0,53.3625730994152,13
22,16,15.0,53.3625730994152,13
23,16,15.0,53.3625730994152,13
23,16,15.0,53.3625730994152,13
23,16,15.0,53.3625730994152,13
23,16,15.0,53.3625730994152,13
22,16,15.0,53.3625730994152,13
24,16,15.0,53.3625730994152,13
23,16,15.0,52.92397660818714,14
24,16,15.0,52.92397660818714,14
22,16,15.0,52.99707602339181,14
22,16,15.0,52.99707602339181,14
23,16,15.0,52.99707602339181,14
22,16,15.0,52.99707602339181,14
23,16,15.0,52.99707602339181,14
23,16,15.0,52.85087719298246,14
23,16,15.0,52.92397660818714,14
23,16,15.0,52.92397660818714,14
24,16,15.0,52.92397660818714,14
23,16,15.0,52.92397660818714,14
0,0,15.0,0.0,14
23,16,15.0,52.99707602339181,14
21,16,15.0,52.85087719298246,14
23,16,15.0,52.99707602339181,14
21,16,15.0,52.85087719298246,14
22,16,15.0,52.85087719298246,14
24,16,15.0,52.99707602339181,14
22,16,15.0,52.85087719298246,14
0,0,15.0,0.0,14
22,16,15.0,52.92397660818714,14
