nb_cycle_retour,moy_cycle_retour,d_eau,propor_utilisa_retour
36,19,10.0,57.675438596491226
36,19,10.0,59.06432748538012
36,20,10.0,58.69883040935673
36,20,10.0,58.91812865497076
36,19,10.0,58.77192982456141
36,19,10.0,58.77192982456141
36,20,10.0,58.91812865497076
36,19,10.0,59.06432748538012
36,20,10.0,58.69883040935673
36,19,10.0,57.675438596491226
36,19,10.0,59.06432748538012
36,19,10.0,58.77192982456141
36,20,10.0,58.91812865497076
36,20,10.0,58.69883040935673
36,19,10.0,57.675438596491226
36,19,10.0,57.675438596491226
36,19,10.0,58.77192982456141
36,19,10.0,59.06432748538012
36,20,10.0,58.91812865497076
36,20,10.0,58.69883040935673
30,19,10.0,58.62573099415205
30,19,10.0,58.62573099415205
31,19,10.0,58.91812865497076
30,19,10.0,58.77192982456141
31,19,10.0,58.77192982456141
31,19,10.0,58.91812865497076
31,19,10.0,58.77192982456141
31,19,10.0,58.91812865497076
