nb_cycle_retour,moy_cycle_retour,dist_perturb,jour_perturb,propor_utilisa_retour
0,0,4.0,4,0.0
23,16,4.0,4,52.92397660818714
23,16,4.0,4,52.92397660818714
23,16,4.0,4,52.92397660818714
23,16,4.0,4,52.92397660818714
24,16,4.0,4,52.92397660818714
22,16,4.0,4,52.85087719298246
23,16,4.0,4,52.85087719298246
22,16,4.0,4,52.85087719298246
23,16,4.0,4,52.85087719298246
23,16,4.0,4,52.85087719298246
23,16,4.0,4,52.85087719298246
23,16,4.0,4,52.85087719298246
23,16,4.0,4,52.85087719298246
24,16,4.0,4,52.85087719298246
24,16,4.0,4,52.85087719298246
24,16,4.0,4,52.85087719298246
25,16,4.0,4,52.85087719298246
25,16,4.0,4,52.85087719298246
23,16,4.0,4,52.85087719298246
23,16,4.0,4,52.85087719298246
23,16,4.0,4,52.85087719298246
23,16,4.0,4,52.85087719298246
24,16,4.0,4,52.85087719298246
23,17,4.0,4,52.92397660818714
24,16,4.0,4,52.85087719298246
24,16,4.0,4,52.85087719298246
0,0,4.0,4,0.0
23,16,4.0,4,52.92397660818714
23,16,4.0,4,52.92397660818714
0,0,4.0,4,0.0
24,16,4.0,4,52.85087719298246
24,16,4.0,4,52.85087719298246
0,0,4.0,4,0.0
23,16,4.0,4,52.92397660818714
24,16,4.0,4,52.92397660818714
24,16,4.0,4,52.85087719298246
24,16,4.0,4,52.92397660818714
24,16,4.0,4,52.92397660818714
24,16,4.0,4,52.92397660818714
24,16,4.0,4,52.92397660818714
24,16,4.0,4,52.92397660818714
25,16,4.0,4,52.92397660818714
25,16,4.0,4,52.92397660818714
25,16,4.0,4,52.92397660818714
25,16,4.0,4,52.92397660818714
23,16,4.0,4,52.85087719298246
24,16,4.0,4,52.92397660818714
23,16,4.0,4,52.85087719298246
25,16,4.0,4,52.92397660818714
23,16,4.0,4,52.85087719298246
24,16,4.0,4,52.85087719298246
23,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
23,16,7.0,1,52.92397660818714
24,16,7.0,1,52.92397660818714
24,16,7.0,1,52.92397660818714
23,16,7.0,1,52.92397660818714
23,16,7.0,1,52.92397660818714
23,16,7.0,1,52.92397660818714
24,16,7.0,1,52.92397660818714
24,16,7.0,1,52.92397660818714
0,0,7.0,1,0.0
23,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
22,16,7.0,1,52.85087719298246
22,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
22,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
25,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
23,16,7.0,1,52.92397660818714
23,16,7.0,1,52.92397660818714
23,16,7.0,1,52.92397660818714
24,16,7.0,1,52.92397660818714
23,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
22,16,7.0,1,52.92397660818714
23,16,7.0,1,52.92397660818714
23,16,7.0,1,52.92397660818714
23,16,7.0,1,52.92397660818714
23,16,7.0,1,52.92397660818714
23,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
22,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
23,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
24,16,7.0,1,52.85087719298246
25,16,7.0,1,52.85087719298246
25,16,7.0,1,52.85087719298246
0,0,7.0,2,0.0
22,15,7.0,2,52.85087719298246
22,15,7.0,2,52.85087719298246
22,15,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
23,15,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
23,15,7.0,2,52.85087719298246
23,15,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
0,0,7.0,2,0.0
25,16,7.0,2,52.85087719298246
23,15,7.0,2,52.85087719298246
25,16,7.0,2,52.85087719298246
24,15,7.0,2,52.85087719298246
0,0,7.0,2,0.0
24,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
23,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
23,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
25,16,7.0,2,52.85087719298246
25,16,7.0,2,52.85087719298246
0,0,7.0,2,0.0
23,16,7.0,2,52.99707602339181
23,16,7.0,2,52.99707602339181
23,16,7.0,2,52.99707602339181
23,16,7.0,2,52.99707602339181
24,16,7.0,2,52.99707602339181
24,16,7.0,2,52.99707602339181
24,16,7.0,2,52.99707602339181
22,16,7.0,2,52.85087719298246
22,16,7.0,2,52.85087719298246
23,16,7.0,2,52.85087719298246
23,16,7.0,2,52.85087719298246
23,16,7.0,2,52.85087719298246
23,16,7.0,2,52.85087719298246
23,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
23,16,7.0,2,52.85087719298246
22,16,7.0,2,52.85087719298246
22,16,7.0,2,52.85087719298246
23,16,7.0,2,52.85087719298246
23,16,7.0,2,52.85087719298246
23,16,7.0,2,52.85087719298246
23,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
24,16,7.0,2,52.85087719298246
23,16,7.0,3,52.92397660818714
22,16,7.0,3,52.92397660818714
23,16,7.0,3,52.92397660818714
23,16,7.0,3,52.92397660818714
23,16,7.0,3,52.92397660818714
0,0,7.0,3,0.0
24,16,7.0,3,52.92397660818714
0,0,7.0,3,0.0
23,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
23,16,7.0,3,52.85087719298246
25,16,7.0,3,52.85087719298246
23,16,7.0,3,52.85087719298246
23,16,7.0,3,52.85087719298246
0,0,7.0,3,0.0
25,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
23,16,7.0,3,52.92397660818714
23,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
23,16,7.0,3,52.92397660818714
24,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
25,16,7.0,3,52.85087719298246
22,16,7.0,3,52.85087719298246
25,16,7.0,3,52.85087719298246
23,16,7.0,3,52.85087719298246
23,16,7.0,3,52.85087719298246
23,16,7.0,3,52.85087719298246
23,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
25,16,7.0,3,52.85087719298246
25,16,7.0,3,52.85087719298246
0,0,7.0,3,0.0
24,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
24,16,7.0,3,52.85087719298246
25,16,7.0,3,52.85087719298246
25,16,7.0,3,52.85087719298246
25,16,7.0,3,52.85087719298246
26,16,7.0,3,52.85087719298246
26,16,7.0,3,52.85087719298246
26,16,7.0,3,52.85087719298246
0,0,7.0,3,0.0
24,16,7.0,3,52.92397660818714
23,16,7.0,3,52.85087719298246
23,16,7.0,3,52.85087719298246
