nb_cycle_aller,moy_cycle_aller,dist_veto,jour_veto,propor_utilisa_aller
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
27,18,15.0,3,50.950292397660824
