nb_cycle_aller,moy_cycle_aller,dist_veto,propor_utilisa_aller,jour_marche
26,18,1.0,53.94736842105263,4
26,18,1.0,53.94736842105263,4
26,18,1.0,53.94736842105263,4
26,18,1.0,53.94736842105263,4
26,17,1.0,52.63157894736842,5
26,18,1.0,51.827485380116954,5
26,18,1.0,51.827485380116954,5
26,17,1.0,52.63157894736842,5
26,18,1.0,51.827485380116954,5
26,17,1.0,52.63157894736842,5
26,18,1.0,51.827485380116954,5
26,18,1.0,51.827485380116954,5
25,18,1.0,53.289473684210535,5
25,18,1.0,53.289473684210535,5
26,18,1.0,53.143274853801174,5
25,18,1.0,51.31578947368421,5
25,18,1.0,0.0,5
25,18,1.0,51.31578947368421,5
25,18,1.0,51.31578947368421,5
25,18,1.0,0.0,5
25,18,1.0,0.0,5
25,18,1.0,51.31578947368421,5
25,18,1.0,51.31578947368421,5
25,18,1.0,0.0,5
25,18,1.0,0.0,5
25,18,1.0,0.0,5
27,18,1.0,52.63157894736842,5
27,18,1.0,52.63157894736842,5
27,18,1.0,52.63157894736842,5
27,18,1.0,52.63157894736842,5
27,18,1.0,52.77777777777778,5
27,18,1.0,52.63157894736842,5
27,18,1.0,52.63157894736842,5
27,18,1.0,52.63157894736842,5
25,18,1.0,52.7046783625731,5
25,18,1.0,52.7046783625731,5
26,18,1.0,51.75438596491229,5
27,18,1.0,51.09649122807017,5
25,18,1.0,50.877192982456144,5
25,18,1.0,50.877192982456144,5
25,18,1.0,50.877192982456144,5
25,18,1.0,50.877192982456144,5
25,18,1.0,50.877192982456144,5
25,18,1.0,50.877192982456144,5
25,18,1.0,50.877192982456144,5
26,18,1.0,53.43567251461988,5
26,18,1.0,53.43567251461988,5
26,18,1.0,53.43567251461988,5
26,18,1.0,53.43567251461988,5
27,18,1.0,50.07309941520468,5
27,18,1.0,50.07309941520468,5
27,18,1.0,50.07309941520468,5
28,18,1.0,52.48538011695907,5
27,18,1.0,50.07309941520468,5
28,18,1.0,52.48538011695907,5
27,18,1.0,50.07309941520468,5
27,18,1.0,50.07309941520468,5
28,18,1.0,52.48538011695907,5
28,18,1.0,52.48538011695907,5
28,18,1.0,52.48538011695907,5
28,18,1.0,52.48538011695907,5
28,18,1.0,52.48538011695907,5
28,18,1.0,52.48538011695907,5
28,18,1.0,52.48538011695907,5
25,18,1.0,52.63157894736842,5
25,18,1.0,52.63157894736842,5
25,18,1.0,52.63157894736842,5
25,18,1.0,52.63157894736842,5
25,18,1.0,52.63157894736842,5
25,17,1.0,51.900584795321635,5
25,17,1.0,51.900584795321635,5
25,17,1.0,51.900584795321635,5
26,18,1.0,53.94736842105263,5
25,17,1.0,51.900584795321635,5
25,17,1.0,51.900584795321635,5
26,18,1.0,53.94736842105263,5
25,17,1.0,51.900584795321635,5
26,18,1.0,53.94736842105263,5
25,18,1.0,50.58479532163743,5
26,18,1.0,53.94736842105263,5
26,18,1.0,53.94736842105263,5
26,18,1.0,53.94736842105263,5
26,18,1.0,53.94736842105263,5
25,18,1.0,53.289473684210535,6
25,18,1.0,53.289473684210535,6
26,17,1.0,52.63157894736842,6
25,18,1.0,0.0,6
25,18,1.0,0.0,6
25,18,1.0,0.0,6
25,18,1.0,51.24269005847953,6
27,18,1.0,52.77777777777778,6
25,18,1.0,52.7046783625731,6
25,18,1.0,52.7046783625731,6
25,18,1.0,52.7046783625731,6
26,18,1.0,51.75438596491229,6
25,18,1.0,52.7046783625731,6
26,18,1.0,51.75438596491229,6
25,18,1.0,52.7046783625731,6
25,18,1.0,52.7046783625731,6
27,18,1.0,51.09649122807017,6
25,18,1.0,50.877192982456144,6
26,18,1.0,53.43567251461988,6
27,18,1.0,50.07309941520468,6
26,18,1.0,53.43567251461988,6
26,18,1.0,53.43567251461988,6
27,18,1.0,50.07309941520468,6
27,18,1.0,50.07309941520468,6
26,18,1.0,53.43567251461988,6
27,18,1.0,50.07309941520468,6
26,18,1.0,53.43567251461988,6
27,18,1.0,50.07309941520468,6
28,18,1.0,52.48538011695907,6
28,18,1.0,52.48538011695907,6
27,18,1.0,50.07309941520468,6
28,18,1.0,52.48538011695907,6
28,18,1.0,52.48538011695907,6
28,18,1.0,52.48538011695907,6
28,18,1.0,52.48538011695907,6
28,18,1.0,52.48538011695907,6
28,18,1.0,52.48538011695907,6
28,18,1.0,52.48538011695907,6
25,18,1.0,50.58479532163743,6
25,18,1.0,50.58479532163743,6
25,18,1.0,50.58479532163743,6
25,18,1.0,52.63157894736842,6
25,17,1.0,51.900584795321635,6
25,18,1.0,50.58479532163743,6
25,17,1.0,51.900584795321635,6
25,18,1.0,50.58479532163743,6
26,18,1.0,53.94736842105263,6
25,17,1.0,51.900584795321635,6
25,18,1.0,50.58479532163743,6
26,18,1.0,53.94736842105263,6
25,18,1.0,50.58479532163743,6
25,17,1.0,51.900584795321635,6
26,18,1.0,53.94736842105263,6
26,18,1.0,53.94736842105263,6
26,18,1.0,53.143274853801174,7
26,18,1.0,51.827485380116954,7
26,17,1.0,52.63157894736842,7
26,18,1.0,51.827485380116954,7
25,18,1.0,53.289473684210535,7
25,18,1.0,53.289473684210535,7
25,18,1.0,0.0,7
25,18,1.0,51.31578947368421,7
25,18,1.0,51.31578947368421,7
25,18,1.0,51.31578947368421,7
